"CustomerID";"FirstName";"LastName";"Gender";"Phone";"Email";"Address";"RegDate";"BirthDate"
35;"Sarah";"Hart";"Female";804377724;;"Lake Stanley, Thailand";2025-02-01 00:00:00;1978-01-20 00:00:00
36;"Taylor";"Hill";"Male";957357334;"taylor.hill@example.com";"North Andrew, Thailand";2025-06-13 00:00:00;1957-12-17 00:00:00
37;"Jon";"Anderson";"Male";968662701;"jon.anderson@example.com";"South Whitneyberg, Thailand";2024-01-11 00:00:00;1991-01-21 00:00:00
38;"Sheila";"Snow";"Female";803443787;"sheila.snow@example.com";"South Williamport, Thailand";2025-02-09 00:00:00;1969-09-02 00:00:00
39;"Stephanie";"Smith";"Female";;"stephanie.smith@example.com";"Perezland, Thailand";2023-09-20 00:00:00;2004-04-22 00:00:00
40;"Dominique";"Cowan";"Female";;"dominique.cowan@example.com";"Williamstown, Thailand";2024-10-02 00:00:00;1978-12-23 00:00:00
41;"Michael";"Gonzalez";"Male";971476795;"michael.gonzalez@example.com";"Port Jill, Thailand";2024-11-25 00:00:00;1972-12-23 00:00:00
42;"Sara";"Turner";"Female";932816357;"sara.turner@example.com";"West Allison, Thailand";2023-01-30 00:00:00;1986-06-13 00:00:00
43;"Jeremy";"Gardner";"Male";946074551;"jeremy.gardner@example.com";"New Shelley, Thailand";2022-12-06 00:00:00;1973-08-25 00:00:00
44;"Madison";"Long";"Female";847671381;"madison.long@example.com";"North Ashleychester, Thailand";2024-11-03 00:00:00;1985-03-01 00:00:00
45;"Herbert";"Snyder";"Male";943983415;"herbert.snyder@example.com";"East Teresa, Thailand";2023-09-06 00:00:00;1967-11-16 00:00:00
46;"Susan";"Jones";"Female";901627023;"susan.jones@example.com";"South Dianaside, Thailand";2022-10-08 00:00:00;1956-05-26 00:00:00
47;"Amanda";"David";"Female";811846019;;"Haleburgh, Thailand";2023-12-08 00:00:00;2004-05-15 00:00:00
48;"Brian";"Lambert";"Male";836165665;"brian.lambert@example.com";"New Anthony, Thailand";2024-03-06 00:00:00;1976-09-29 00:00:00
49;"Rachel";"Owens";"Female";851855549;"rachel.owens@example.com";"New Elaine, Thailand";2024-06-28 00:00:00;1982-11-01 00:00:00
50;"James";"Lopez";"Male";868816742;"james.lopez@example.com";"Oneillport, Thailand";2023-03-27 00:00:00;1959-11-20 00:00:00
